Date,Discharge_Capacity,group,static,index
2015-11-13 11:00:39,8.78360217893004E-10,45007,1,642
2015-11-13 11:00:49,8.78360217893004E-10,45007,1,643
2015-11-13 11:00:59,8.78360217893004E-10,45007,1,644
2015-11-13 11:01:09,8.78360217893004E-10,45007,1,645
2015-11-13 11:01:19,8.78360217893004E-10,45007,1,646
2015-11-13 11:01:29,8.78360217893004E-10,45007,1,647
2015-11-13 11:01:39,8.78360217893004E-10,45007,1,648
2015-11-13 11:01:49,8.78360217893004E-10,45007,1,649
2015-11-13 11:01:59,8.78360217893004E-10,45007,1,650
2015-11-13 11:02:09,8.78360217893004E-10,45007,1,651
2015-11-13 11:02:19,8.78360217893004E-10,45007,1,652
2015-11-13 11:02:29,8.78360217893004E-10,45007,1,653
2015-11-13 11:02:39,8.78360217893004E-10,45007,1,654
2015-11-13 11:02:49,8.78360217893004E-10,45007,1,655
2015-11-13 11:02:59,8.78360217893004E-10,45007,1,656
2015-11-13 11:03:09,8.78360217893004E-10,45007,1,657
2015-11-13 11:03:19,8.78360217893004E-10,45007,1,658
2015-11-13 11:03:29,8.78360217893004E-10,45007,1,659
2015-11-13 11:03:39,8.78360217893004E-10,45007,1,660
2015-11-13 11:03:49,8.78360217893004E-10,45007,1,661
2015-11-13 11:03:59,8.78360217893004E-10,45007,1,662
2015-11-13 11:04:09,8.78360217893004E-10,45007,1,663
2015-11-13 11:04:19,8.78360217893004E-10,45007,1,664
2015-11-13 11:04:29,8.78360217893004E-10,45007,1,665
2015-11-13 11:04:39,8.78360217893004E-10,45007,1,666
2015-11-13 11:04:49,8.78360217893004E-10,45007,1,667
2015-11-13 11:04:59,0.217313632369041,45007,1,668
2015-11-13 11:05:09,0.434633761644363,45007,1,669
2015-11-13 11:05:19,0.651974976062775,45007,1,670
2015-11-13 11:05:29,0.869308292865753,45007,1,671
2015-11-13 11:05:39,1.08661043643951,45007,1,672
2015-11-13 11:05:43,1.29254972934723,45007,1,673
2015-11-13 11:05:53,1.29264795780182,45007,1,674
2015-11-13 11:06:03,1.29264795780182,45007,1,675
2015-11-13 11:06:13,1.29264795780182,45007,1,676
2015-11-13 11:06:23,0,45007,1,677
2015-11-13 11:06:33,0,45007,1,678
2015-11-13 11:06:43,0,45007,1,679
2015-11-13 11:06:53,0,45007,1,680
2015-11-13 11:07:03,0,45007,1,681
2015-11-13 11:07:13,0,45007,1,682
2015-11-13 11:07:23,0,45007,1,683
2015-11-13 11:07:33,0,45007,1,684
2015-11-13 11:07:43,0,45007,1,685
2015-11-13 11:07:53,0,45007,1,686
2015-11-13 11:08:03,0,45007,1,687
